119.207.72.176 - - [01/Jun/2020:04:58:34 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 200 494
119.207.72.72 - - [01/Jun/2020:04:58:46 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 200 494
66.249.79.65 - - [01/Jun/2020:05:06:25 +0900] "GET /board/index.html HTTP/1.1" 404 721
213.180.203.55 - - [01/Jun/2020:05:22:18 +0900] "GET /robots.txt HTTP/1.1" 404 721
213.180.203.55 - - [01/Jun/2020:05:22:21 +0900] "GET /board/%EB%89%B4%EC%8A%A4%EC%9D%B4%EB%B2%A4%ED%8A%B8/2/ HTTP/1.1" 404 721
66.249.79.94 - - [01/Jun/2020:05:29:27 +0900] "GET /product/list.html?cate_no=26&sort_method=3 HTTP/1.1" 404 721
157.55.39.151 - - [01/Jun/2020:05:29:31 +0900] "GET /myshop/order/list.html?order_status=shipped_before HTTP/1.1" 404 721
66.249.79.65 - - [01/Jun/2020:05:30:04 +0900] "GET /product/list.html?cate_no=26&sort_method=1 HTTP/1.1" 404 721
66.249.79.94 - - [01/Jun/2020:05:31:19 +0900] "GET /product/list.html?cate_no=26&sort_method=5 HTTP/1.1" 404 721
66.249.79.94 - - [01/Jun/2020:05:32:21 +0900] "GET /product/list.html?cate_no=26&sort_method=2 HTTP/1.1" 404 721
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET / HTTP/1.1" 200 4346
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET /resources/css/style.css HTTP/1.1" 200 19252
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET /resources/css/style.css HTTP/1.1" 200 19252
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET /resources/jquery/jquery-3.4.1.min.js HTTP/1.1" 200 88145
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET /resources/jquery/jstyle.js HTTP/1.1" 200 494
119.207.72.69 - - [01/Jun/2020:05:47:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
139.162.106.181 - - [01/Jun/2020:05:57:59 +0900] "GET / HTTP/1.1" 200 4346
